Date,Description,Amount
2025-02-19,Subway,39.89
2025-02-19,Local Restaurant,17.47
2025-02-19,Pizza Hut,45.34
2025-02-20,Movie Theater,26.46
2025-02-21,Best Buy,257.64
2025-02-21,Doctor Office,30.37
2025-02-22,CVS Pharmacy,92.91
2025-02-24,Clothing Store,170.4
2025-02-24,Clothing Store,21.48
2025-02-24,Credit Card Payment,332.71
2025-02-25,CVS Pharmacy,99.74
2025-02-27,Doctor Office,28.56
2025-02-27,Best Buy,199.86
2025-03-01,Water Company,90.58
2025-03-01,Local Restaurant,31.13
2025-03-03,Phone Bill,133.47
2025-03-04,Metro Transit,55.36
2025-03-04,Phone Bill,92.27
2025-03-05,Best Buy,37.46
2025-03-05,Pizza Hut,13.56
2025-03-06,PG&E Electric,125.39
2025-03-06,Uber,33.91
2025-03-07,Whole Foods,78.75
2025-03-08,Subway,19.98
2025-03-08,Doctor Office,24.17
2025-03-09,Dental Clinic,124.26
2025-03-09,Dental Clinic,58.13
2025-03-09,Doctor Office,144.4
2025-03-09,Local Restaurant,51.97
2025-03-10,Gym Membership,12.19
2025-03-10,Credit Card Payment,394.47
2025-03-11,Insurance Payment,149.5
2025-03-11,CVS Pharmacy,59.51
2025-03-12,Clothing Store,29.83
2025-03-12,Dental Clinic,65.1
2025-03-12,Phone Bill,198.22
2025-03-13,Amazon,229.87
2025-03-13,CVS Pharmacy,123.37
2025-03-14,Netflix,12.72
2025-03-17,Amazon,154.14
2025-03-17,Gym Membership,49.55
2025-03-18,Loan Payment,293.43
2025-03-18,Doctor Office,66.31
2025-03-20,Local Restaurant,54.52
2025-03-22,Gym Membership,43.26
2025-03-24,Parking Meter,48.14
2025-03-24,Movie Theater,44.47
2025-03-26,Spotify,16.31
2025-03-26,Dental Clinic,85.41
2025-03-27,Dental Clinic,26.15
2025-03-27,McDonalds,51.52
2025-03-28,CVS Pharmacy,24.84
2025-03-29,PG&E Electric,130.75
2025-03-30,Spotify,17.78
2025-03-31,Best Buy,67.53
2025-03-31,CVS Pharmacy,114.3
2025-03-31,Netflix,12.36
2025-04-01,Credit Card Payment,264.67
2025-04-01,McDonalds,27.98
2025-04-01,McDonalds,33.05
2025-04-02,Lyft,57.84
2025-04-03,Credit Card Payment,194.37
2025-04-05,Credit Card Payment,395.55
2025-04-06,Safeway,41.06
2025-04-06,Shell Gas,12.62
2025-04-06,Whole Foods,79.89
2025-04-06,Starbucks,17.56
2025-04-11,Credit Card Payment,427.46
2025-04-12,Pizza Hut,8.82
2025-04-12,Dental Clinic,45.27
2025-04-13,Target,76.29
2025-04-13,Best Buy,173.46
2025-04-15,Insurance Payment,418.13
2025-04-15,PG&E Electric,97.3
2025-04-16,Best Buy,153.6
2025-04-17,Loan Payment,469.23
2025-04-18,Insurance Payment,337.78
2025-04-18,Phone Bill,107.46
2025-04-21,Online Shopping,129.32
2025-04-22,Movie Theater,46.66
